Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥṭrʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>kldyʔ</nationality></persName>,"<persName ref=""mry šmʕwn br ṣbʕʔ""><status>mry</status> <forename>šmʕwn</forename> <addName>br ṣbʕʔ</addName></persName>","<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""ʔbʔ ʔwgrys""><status>ʔbʔ</status> <forename>ʔwgrys</forename></persName>​",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>","<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> b<residence>lwqw</residence></persName>",<persName><status>ʔbʔ</status> <forename>pkwm</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,,"<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>","<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename></persName>",,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",<persName><status>mry</status></persName>,<persName><forename>pwlws</forename> <trait>rbʔ</trait></persName>,<persName><status>mry</status> <forename>bṭylʔ</forename></persName>,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>",<persName><status>mry</status> <forename>ywḥnn</forename></persName>,<persName><status>mry</status> <forename>šhdwst</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>,
"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>",,"<persName ref=""mry šmʕwn dšnʔ""><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>nwkryṭʔ</virtue></persName>,<persName><status>ʔbʔ</status> <forename>pwlws</forename></persName>,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",<persName><status>ʔbʔ</status> <forename>pldys</forename></persName>​,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>","<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>brzwʕby</addName></persName>",<persName><status>ʔbʔ</status> <forename>ʔwr</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",<persName><status>mry</status> <forename>ʔsṭpnws</forename></persName>,,<persName><forename>šwšn</forename></persName>,<persName><status>ʔbʔ</status> <forename>pwlws</forename></persName>,"<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>",<persName><status>mry</status> <forename>ʔwkmʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,,<persName><status>mry</status> <forename>ppʔ</forename></persName>,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>","<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",
<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>yznyʔ</residence></persName>,"<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",<persName><status>ʔbʔ</status> <forename>ʔwr</forename></persName>​,"<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>","<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>","<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",<persName><status>ʔbʔ</status> <forename>ʔšʕyʔ</forename></persName>​,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><forename>gywrgys</forename></persName>,,<persName><forename>ʔnhyr</forename></persName>,"<persName ref=""ʔnṭwnys""><status>ʔbʔ</status> <forename>ʔnṭwnys</forename></persName>","<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><status>mry</status> <forename>ṣlybʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,,<status>mry</status>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",
<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔyzlyʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>pwṭwmwn</forename></persName>,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",<persName><status>ʔbʔ</status> <forename>psys</forename></persName>​,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>","<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>prḥyʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>pʔsys</forename></persName>​,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,<persName><forename>qwryqws</forename></persName>,,<persName><forename>trbw</forename></persName>,"<persName ref=""mqrys""><status>ʔbʔ</status> <forename>mqrys</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""mry ṭṭws""><status>mry</status> <forename>ṭṭws</forename></persName>","<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>",,<persName><status>ʔbʔ</status> <forename>pwlws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br ʕdtʔ</addName></persName>,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",
"<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>",,"<persName ref=""mry ywḥnn dʔšnwk""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔšnw</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>gzyrnyʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>mwšʔ</forename> <residence>kwšyʔ</residence></persName>,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmyn</residence></persName>",<persName><status>ʔbʔ</status> <forename>ʔšʕyʔ</forename></persName>​,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ǧlw</residence></persName>","<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,"<persName ref=""srpywn""><status>ʔbʔ</status> <forename>srpywn</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>dlš</residence></persName>,,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsʔ</addName></persName>","<persName ref=""srgys""><forename>srgys</forename></persName>",,<persName><forename>ʔsṭrṭnyqʔ</forename></persName>,"<persName ref=""ʔrsnys""><status>ʔbʔ</status> <forename>ʔrsnys</forename></persName>",<persName><forename>pkwmys</forename></persName>,<persName><status>mry</status> <forename>kwmʔ</forename></persName>,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>",,"<persName ref=""ʔnṭwnys""><status>ʔbʔ</status> <forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>","<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",
"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>nzʔ</residence></persName>,,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšhhʔ</addName></persName>",<persName><status>ʔbʔ</status> <forename>mrqws</forename></persName>,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",<persName><status>ʔbʔ</status> <forename>pwlʔ</forename> <trait>pšyṭʔ</trait></persName>,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>","<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmyn</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>nwkryṭʔ</virtue></persName>,"<persName ref=""ʔbʔ mrqws trmqyʔ""><status>ʔbʔ</status> <forename>mrqws</forename> <addName>trmsʔ</addName></persName>","<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>",,"<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>","<persName ref=""bkws""><forename>bkws</forename></persName>",,<persName><forename>tqlʔ</forename></persName>,"<persName ref=""ʔbʔ ʔwgrys""><status>ʔbʔ</status> <forename>ʔwgrys</forename></persName>​","<persName ref=""ʔbʔ ʔwgrys""><forename>ʔwgrys</forename></persName>",<persName><status>mry</status> <forename>ywsp</forename> d<residence>bld</residence></persName>,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>",,"<persName ref=""mqrys""><status>ʔbʔ</status> <forename>mqrys</forename></persName>","<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>","<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",
"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>kbnʔ</residence></persName>,,"<persName ref=""mry ywḥnn dʔšnwk""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔšnwk</residence></persName>","<persName ref=""srpywn""><status>ʔbʔ</status> <forename>srpywn</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>znʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>mwšʔ</forename> <residence>kwšyʔ</residence></persName>,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <forename>ywḥnn</forename> <addName>mpnʔ šʔln</addName></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔsn</residence></persName>,<persName><status>ʔbʔ</status> <forename>pywr</forename></persName>​,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>",,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>brzwʕby</addName></persName>","<persName ref=""mry ʕbdyšwʕ""><forename>ʕbdyšwʕ</forename></persName>",,<persName><forename>hlnʔ</forename></persName>,<persName><status>ʔbʔ</status> <forename>pldys</forename></persName>​,"<persName ref=""srpywn""><forename>srpywn</forename></persName>",<persName><status>mry</status> <forename>dnḥʔ</forename></persName>,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>",,"<persName ref=""ʔrsnys""><status>ʔbʔ</status> <forename>ʔrsnys</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br wʕby</addName></persName>,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmyn</residence></persName>",
"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>yryʔ</residence></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,"<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <forename>ywḥnn</forename> <addName>mpnʔ šʔln</addName></persName>",<persName><status>ʔbʔ</status> <forename>pywr</forename> <trait>ṭlyʔ</trait></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,<persName><status>mry</status> <forename>ʔzd</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnḥl</residence></persName>,<persName><status>ʔbʔ</status> <forename>pldys</forename></persName>​,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>",<persName><forename>ḥnnyšwʕ</forename></persName>,,<persName><forename>ṣwlṭn mdwq</forename></persName>,<persName><status>ʔbʔ</status> <forename>ʔwr</forename></persName>​,<persName><status>ʔbʔ</status> <forename>ʔšʕyʔ</forename></persName>,<persName><status>mry</status> <forename>bby</forename></persName>,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> br <residence>llš</residence></persName>","<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> dyn d<residence>ʔnzl</residence></persName>",
"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename> d<residence>mʕrtʔ</residence></persName>",<persName><status>mry</status> <forename>ʔzd</forename></persName>,"<persName ref=""srpywn""><status>ʔbʔ</status> <forename>srpywn</forename></persName>","<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",<persName><status>mry</status> <forename>bwktzd</forename></persName>,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <addName>dšh</addName></persName>",<persName><status>ʔbʔ</status> <forename>srmṭʔ</forename></persName>​,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",<persName><forename>sbryšwʕ</forename></persName>,,<persName><forename>qndq</forename></persName>,<persName><status>ʔbʔ</status> <forename>pʔys</forename></persName>​,<persName><status>rbn</status> <forename>šbwr</forename></persName>,"<persName ref=""mry kwdʔhwy dbyt ḥlʔ""><status>mry</status> <forename ref=""kwdʔhwy"">kwdʔ</forename> hw d<residence>byt ḥllʔ</residence></persName>","<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>","<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>ds</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>znʔ</residence></persName>,
<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,,,,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",<persName><status>mry</status> <forename>ḥnnyʔ</forename></persName>,<persName><status>mry</status> <forename>bwktzd</forename></persName>,"<persName ref=""ʔbʔ mrqws trmqyʔ""><status>ʔbʔ</status> <forename>mrqws</forename> <residence>trmqyʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><status>mry</status> <forename>šrkʔ</forename></persName>,<persName><status>ʔbʔ</status> <forename>ʔtry</forename></persName>​,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""ddyšwʕ""><forename>ddyšwʕ</forename></persName>",,<persName><status>mry</status> <forename>ʔšʕyʔ</forename> <residence>ḥlbyʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>ʔšʕyʔ</forename></persName>​,<persName><status>rbn</status> <forename>mnšʔ</forename></persName>,<persName><status>mry</status> <forename>ywnn</forename> d<residence>ʔynbr</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,,"<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>","<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <forename>ywḥnn</forename> <addName>mpnʔ šʔln</addName></persName>",
"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>",,,,"<persName ref=""mry ywḥnn ʕlymʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ʕlymʔ</trait></persName>","<persName ref=""srgys""><status>mry</status> <forename>srgys</forename></persName>",<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><status>ʔbʔ</status> <forename>ʔgynws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>byt qrdw</residence></persName>,"<persName ref=""mry šmʕwn dšnʔ""><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>dnḥʔ</addName></persName>,<persName><status>rbn</status> <forename>shdʔ</forename></persName>​,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,"<persName ref=""mry sbʔ ʔsyʔ drwḥtʔ""><forename ref=""mry"">sbʔ</forename> <virtue>ʔsyʔ</virtue></persName>",,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>ʔbʔ</status> <forename>pwlʔ</forename> <trait>pšyṭʔ</trait></persName>,<persName><status>mry</status> <forename>srgys</forename> <addName>dwdʔ</addName></persName>,"<persName ref=""mry šmʕwn dʔsṭwnʔ""><status>mry</status> <forename>šmʕwn</forename> <virtue>dʔsṭwnʔ</virtue></persName>","<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",,<persName><status>mry</status> <forename>šhq</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,<persName><status>mry</status> <forename>ʔzd</forename></persName>,
"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,"<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>",<persName><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>krwnyqws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>bṭylʔ</trait></persName>,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,"<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmydʔ</virtue></persName>",<persName><status>rbn</status> <forename>srgys</forename></persName>,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>","<persName ref=""srpywn""><forename>srpywn</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>mwšʔ</forename> <residence>kwšyʔ</residence></persName>,"<persName ref=""mry kwdʔhwy dbyt ḥlʔ""><status>mry</status> <forename>kwdʔhwy</forename> d<residence>byt ḥlʔ</residence></persName>",<persName><status>mry</status> <forename>gbryl</forename> <trait>dsrpʔ</trait></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,,<persName><status>mry</status> <forename>kwnypʔ</forename></persName>,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>",<persName><status>mry</status> <forename>bwktzd</forename></persName>,
<persName><forename>mty</forename></persName>,,,,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""mry ʔbrhm qydwnyʔ""><status>mry</status> <forename>ʔbrhm</forename> <residence>qydwnyʔ</residence></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,<persName><status>ʔbʔ</status> <forename>srmyṭʔ</forename></persName>,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",<persName><status>mry</status> <forename>gywrgys</forename> <virtue>shdʔ</virtue></persName>,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> d<residence>ǧlw</residence></persName>",<persName><status>mry</status> <forename>bṭlʔ</forename></persName>​,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,<persName><forename>ḥnnʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,"<persName ref=""srpywn""><status>ʔbʔ</status> <forename>srpywn</forename></persName>",<persName><status>ʔbʔ</status> <forename>ywnn</forename> d<residence>ʔnbr</residence></persName>,<persName><status>mry</status> <forename>gbrwnʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>qrdw</residence></persName>,,<persName><status>mry</status> <forename>ʔwkmʔ</forename></persName>,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",<persName><status>mry</status> <forename>gwštzd</forename></persName>,
<persName><forename>mrqws</forename></persName>,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>hndwyʔ</nationality></persName>,<persName><status>mry</status> <forename>mykʔ</forename></persName>,<persName><status>mry</status> <forename>gywrgys</forename> <virtue>shdʔ</virtue></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,"<persName ref=""mry ywḥnn ʔwnlmʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>ʔwnlmʔ</addName></persName>","<persName ref=""mry qwryqws shdʔ""><status>mry</status> <forename>qwryqws</forename> <virtue>shdʔ</virtue></persName>",,<persName><status>mry</status> <addName>d</addName>ʔṭwnh</persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>rwstqʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>byt qrdw</residence></persName>,<persName><status>mry</status> <forename>zyʕʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,"<persName ref=""ʔbʔ mrqws trmqyʔ""><status>ʔbʔ</status> <forename>mrqws</forename> <addName>trmqyʔ</addName></persName>",<persName><status>mry</status> <forename>sbryšwʕ</forename> d<residence>bʔyq</residence></persName>,<persName><status>mry</status> <forename>yʕqwb</forename> <virtue>mpsqʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>bṭylʔ</trait></persName>,,<persName><status>mry</status> <forename>ʕbdʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,"<persName ref=""mry šmʕwn dšnʔ""><status>mry</status> <forename>šmʕwn</forename> r<residence>šnʔ</residence></persName>",
